anidbid,mal_id,thetvdb_id
442,1397,72347
443,1400,72347
444,980,84620
445,421,79022
446,426,82745
447,298,79099
448,1097,80056
449,202,79060
450,624,83635
451,1496,80612
452,1349,79223
453,287,79237
454,360,79224
455,1517,72493
456,769,73526
457,1043,84749
458,273,82653
459,1161,81432
460,1264,70516
461,1004,305799
462,1112,71744
463,1111,71744
464,1132,380653
465,439,79718
466,2409,72843
467,1456,83406
468,976,84509
470,1276,82569
471,1277,82569
472,833,81024
473,776,107441
474,835,117871
475,1728,134151
476,773,254023
477,708,83021
478,506,179311
479,2521,142991
480,1623,112661
481,1281,82234
482,1179,83295
483,2769,323240
484,1491,100171
485,1301,100171
486,2473,99471
487,2474,99471
488,129,80587
489,1165,84527
491,2460,71776
492,319,81099
493,370,73526
494,2453,256944
496,2273,79327
497,1398,72347
499,2039,269667
501,1262,74309
503,179,73196
504,1186,72796
505,2116,84045
506,2117,84045
507,1674,84045
508,1614,84045
509,2288,72845
510,881,80608
513,371,70668
514,372,70668
515,581,82968
516,721,76045
517,1303,80468
518,266,79046
519,1762,125781
520,1946,84609
521,2044,195161
522,2598,103691
523,2599,103691
524,2561,79033
525,1675,78628
526,375,351514
527,1284,160051
531,2818,335791
532,3312,74600
533,1081,81506
535,1348,73247
536,2010,80054
537,1290,80789
538,1017,72901
539,2036,257858
540,2804,371344
541,2259,167801
542,1848,166871
543,1743,91391
544,1769,91391
545,138,79076
547,1411,120121
548,900,81472
550,1492,72394
553,293,73501
554,1528,182921
555,107,73239
556,116,79241
557,508,70817
558,1573,72844
560,2775,85010
561,1313,72241
562,874,277575
563,2495,97951
564,832,133011
565,1234,72470
566,215,349691
568,909,79853
569,1488,81867
571,238,81011
572,1040,199551
574,362,253938
575,486,79179
576,2454,78923
579,1037,247789
580,758,72720
581,97,72902
582,1024,72922
583,447,72922
584,820,81618
585,3637,427181
586,840,111071
588,2364,72436
589,1155,160061
590,170,72491
591,2933,87191
593,550,113561
594,1668,70799
595,288,70799
596,2302,157211
597,1283,133991
598,259,74544
599,2524,198501
601,2459,71776
602,1162,81432
603,1252,81789
605,2538,401203
606,2484,81437
607,1164,79063
609,1792,75321
610,374,79589
611,1280,84537
612,17,81003
614,3968,401051
615,1962,248461
616,1849,166871
617,1972,73082
618,257,80158
619,6016,79103
621,61,82211
622,660,75002
624,236,75856
625,187,70900
626,88,76547
628,1964,84527
629,3098,248462
630,113,79782
631,822,70900
632,335,84536
633,1751,97781
634,230,79205
635,427,74739
636,521,75872
637,2382,150781
638,250,83421
639,545,164251
640,167,79645
641,292,169991
642,407,230211
644,998,76695
645,1597,99111
648,1650,85230
651,4191,314921
654,647,79882
655,1664,82961
656,1083,82267
661,1645,79888
662,1816,72459
666,2067,71313
672,2723,266828
673,26,74493
675,2014,80054
678,1018,72901
680,684,180111
681,618,72842
683,1553,180581
684,1806,149421
686,1521,72281
688,914,73495
690,605,103571
691,1150,85312
692,271,81380
693,571,81969
694,1733,73571
695,1764,72491
696,1861,72491
697,2498,72491
698,2499,72491
699,582,81608
701,495,72445
703,1416,71863
704,1419,71863
705,1434,71863
706,1159,85073
708,966,79654
709,1708,259842
710,178,73196
711,4266,427184
712,912,180121
714,7048,250577
715,80,76547
716,82,80785
717,84,80783
718,85,71535
719,86,72352
720,87,76547
721,89,71536
724,676,254024
725,1000,100151
726,2203,79765
727,2470,100151
728,2202,79765
729,1090,76547
731,1628,100421
732,1713,80945
733,2738,316641
737,621,82070
738,1174,84932
739,1391,82595
740,1178,350031
741,1502,71283
742,6557,351298
743,3185,351298
745,1136,71654
749,1629,83309
750,553,82830
751,196,72977
752,1039,85661
